,title,desc,link,date,year,month,day,datenoyear,placeQID,placename
541,26.04.07  - Quarto Cagnino (Milano): corteo per il 25 aprile preso a sassate," 26.04.07  - Quarto Cagnino (Milano): corteo per il 25 aprile preso a sassate
Una cinquantina di persone, tra cui molte famiglie con bambini, percorsi meno di 100 metri dal punto di incontro previsto per le 20.30 all’angolo tra via Constant e via Carlo Marx, è stata presa a sassate da ignoti. ",/antifa/article/1429/QuartoCagninoMilanocorteoperil25aprilepresoasassate,2007-04-26,2007,4,26,04-26,-,Quarto Cagnino
542,18.04.07  - Lucca: ennesima violenza squadrista," 18.04.07  - Lucca: ennesima violenza squadrista
Domenica sera verso le 20:30 nei pressi dell’istituto Boccherini un giovane ragazzo del liceo classico Macchiavelli è stato fermato da una persona con il volto coperto da una sciarpa dei Buldogg e percosso ripetutamente, fino a provocargli la rottura del labbro.",/antifa/article/1390/Luccaennesimaviolenzasquadrista,2007-04-18,2007,4,18,04-18,-,Lucca
543,15.04.07  - Comunicato: aggressione fascista a Ciampino," 15.04.07  - Comunicato: aggressione fascista a Ciampino
L’aggressione è avvenuta a una fermata dell’autobus, con una spranga di ferro sferrata più volte sulla testa del compagno, portato al pronto soccorso, dove gli sono stati praticati 11 punti di sutura in varie zone della testa ed è stato dichiarato guaribile in 25 giorni.",/antifa/article/1386/ComunicatoaggressionefascistaaCiampino,2007-04-15,2007,4,15,04-15,-,Ciampino
544,15.04.07  - Milano: bottiglie incendiarie all'Islamic Relief," 15.04.07  - Milano: bottiglie incendiarie all'Islamic Relief
La rivendicazione: “siamo il Fronte cristiano combattente, abbiamo
distrutto la sede  dell’Islamic Relief a Milano. Un nucleo armato
combattente ha agito questa mattina in via Amadeo.
Paolo Gonzaga é stato condannato a morte da un tribunale cristiano” ",/antifa/article/1384/MilanobottiglieincendiarieallIslamicRelief,2007-04-15,2007,4,15,04-15,Q490,Milano
545,9.04.07  - Savona assalto nazi a circolo arci," 9.04.07  - Savona assalto nazi a circolo arci
In una decina con il volto coperto da passamontagna, urlando slogan fascisti e nazisti e costringendo le persone presenti nel locale a barricarsi all’interno. Gli assalitori si sono scatenati tirando pietre e sbarre di ferro, sradicando cartelli stradali e prendendosela anche con due auto in sosta",/antifa/article/1375/Savonaassaltonaziacircoloarci,2007-04-09,2007,4,9,04-09,-,Savona
546,5.04.07  - Roma: molotov al cs deCOLLIamo," 5.04.07  - Roma: molotov al cs deCOLLIamo
Nella serata fra 1 e 2 aprile all’1e30circa, durante l’iniziativa che concludeva i tre giorni di festa per il primo anno d’occupazione, quattro molotov sono state lanciate contro la struttura: tre hanno preso fuoco per terra senza per fortuna creare danni e una è rimasta al di fuori della recinzione.",/antifa/article/1365/RomamolotovalcsdeCOLLIamo,2007-04-05,2007,4,5,04-05,-,Roma
547,4.04.07  - Roma: aggressione al csa La Strada," 4.04.07  - Roma: aggressione al csa La Strada
Nella notte tra il 27 e il 28 marzo, un gruppo di otto persone a bordo di due macchine e armate di vari oggetti contundenti, bastoni e caschi, ha imperversato per le vie di Garbatella, imbrattando l’ingresso del Centro Sociale “La Strada”. Due ragazzi che si trovavano all’interno del Centro Sociale sono stati aggrediti a colpi di bastone da alcuni componenti del gruppo, che, dopo essere stati allontanati, hanno lasciato sul posto dei manifesti firmati Azione Giovani. ",/antifa/article/1358/RomaaggressionealcsaLaStrada,2007-04-04,2007,4,4,04-04,Q220,Roma
548,4.04.07  - Roma: aggrediti nei pressi della sede del PdCI," 4.04.07  - Roma: aggrediti nei pressi della sede del PdCI
INTORNO alla mezzanotte, un gruppo di estremisti di destra ha aggredito alcuni militanti di sinistra nei pressi della sezione dei Comunisti Italiani di Tor Marancia. Altri tre giovani di sinistra sono stati invece aggrediti, e uno di essi anche accoltellato, nella notte tra il 28 e il 29 marzo, nella zona di Monti Tiburtini.",/antifa/article/1357/RomaaggreditineipressidellasededelPdCI,2007-04-04,2007,4,4,04-04,-,Roma
549,28.03.07  - Lucca: minacciata da 7 fascisti," 28.03.07  - Lucca: minacciata da 7 fascisti
...e l’altro dopo un secondo di silenzio mi dice:”Spero tu abbia già il buco della topa aperto, altrimenti ci pensiamo noi”. Si sono messi a ridere tutti e 7 e poi se ne sono andati in direzione della città.
Io ero paralizzata, mi si è bloccata la bocca, che fra l’altro anche ora non è del tutto apposto, e sono andata a casa di corsa…",/antifa/article/1352/Luccaminacciatada7fascisti,2007-03-28,2007,3,28,03-28,-,Lucca
550,24.03.07  - Torino: attacco al Barocchio," 24.03.07  - Torino: attacco al Barocchio
Mercoledì 21 marzo 2007 verso le 22.30 due fascisti, dopo aver percosso inutilmente le porte del Barocchio Squat a Torino, se la prendono con un occupante della casa arrivato lì in quel momento, tirando fuori delle lame. Il compagno riesce a entrare nella casa e i vili aggressori dopo aver bucato le gomme dei mezzi parcheggiati la fuori scappano di gran lena.",/antifa/article/1349/TorinoattaccoalBarocchio,2007-03-24,2007,3,24,03-24,-,Torino
